Enter the purchase price of your home: $199900.00
Enter the term of the loan in years: 8
Enter a valid term: 30
Enter your down payment percentage: -10.0
Enter a valid down payment percentage: 10.0

Loan amount: $179,910.00
Loan type: 30-Year Fixed, 90% or less LTV at 7.000% APR
Monthly Payment = $1196.95
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
  62           986.67              210.28           168,932.48          101.20
  63           985.44              211.51           168,720.97          101.20
  64           984.21              212.74           168,508.23          101.20
  65           982.96              213.99           168,294.24          101.20
  66           981.72              215.23           168,079.01          101.20
  67           980.46              216.49           167,862.52          101.20
  68           979.20              217.75           167,644.77          101.20
  69           977.93              219.02           167,425.75          101.20
  70           976.65              220.30           167,205.45          101.20
  71           975.37              221.58           166,983.87          101.20
  72           974.07              222.88           166,760.99          101.20
  73           972.77              224.18           166,536.81          101.20
  74           971.46              225.49           166,311.32          101.20
  75           970.15              226.80           166,084.52          101.20
  76           968.83              228.12           165,856.40          101.20
  77           967.50              229.45           165,626.95          101.20
  78           966.16              230.79           165,396.16          101.20
  79           964.81              232.14           165,164.02          101.20
  80           963.46              233.49           164,930.53          101.20
  81           962.09              234.86           164,695.67          101.20
  82           960.72              236.23           164,459.44          101.20
  83           959.35              237.60           164,221.84          101.20
  84           957.96              238.99           163,982.85          101.20
  85           956.57              240.38           163,742.47          101.20
  86           955.16              241.79           163,500.68          101.20
  87           953.75              243.20           163,257.48          101.20
  88           952.34              244.61           163,012.87          101.20
  89           950.91              246.04           162,766.83          101.20
  90           949.47              247.48           162,519.35          101.20
  91           948.03              248.92           162,270.43          101.20
  92           946.58              250.37           162,020.06          101.20
  93           945.12              251.83           161,768.23          101.20
  94           943.65              253.30           161,514.93          101.20
  95           942.17              254.78           161,260.15          101.20
  96           940.68              256.27           161,003.88          101.20
  97           939.19              257.76           160,746.12          101.20
  98           937.69              259.26           160,486.86          101.20
  99           936.17              260.78           160,226.08          101.20
 100           934.65              262.30           159,963.78          101.20
 101           933.12              263.83           159,699.95          101.20
 102           931.58              265.37           159,434.58            0.00
 103           930.04              266.91           159,167.67            0.00
 104           928.48              268.47           158,899.20            0.00
 105           926.91              270.04           158,629.16            0.00
 106           925.34              271.61           158,357.55            0.00
 107           923.75              273.20           158,084.35            0.00
 108           922.16              274.79           157,809.56            0.00
 109           920.56              276.39           157,533.17            0.00
 110           918.94              278.01           157,255.16            0.00
 111           917.32              279.63           156,975.53            0.00
 112           915.69              281.26           156,694.27            0.00
 113           914.05              282.90           156,411.37            0.00
 114           912.40              284.55           156,126.82            0.00
 115           910.74              286.21           155,840.61            0.00
 116           909.07              287.88           155,552.73            0.00
 117           907.39              289.56           155,263.17            0.00
 118           905.70              291.25           154,971.92            0.00
 119           904.00              292.95           154,678.97            0.00
 120           902.29              294.66           154,384.31            0.00
 121           900.58              296.37           154,087.94            0.00
 122           898.85              298.10           153,789.84            0.00
 123           897.11              299.84           153,490.00            0.00
 124           895.36              301.59           153,188.41            0.00
 125           893.60              303.35           152,885.06            0.00
 126           891.83              305.12           152,579.94            0.00
 127           890.05              306.90           152,273.04            0.00
 128           888.26              308.69           151,964.35            0.00
 129           886.46              310.49           151,653.86            0.00
 130           884.65              312.30           151,341.56            0.00
 131           882.83              314.12           151,027.44            0.00
 132           880.99              315.96           150,711.48            0.00
 133           879.15              317.80           150,393.68            0.00
 134           877.30              319.65           150,074.03            0.00
 135           875.43              321.52           149,752.51            0.00
 136           873.56              323.39           149,429.12            0.00
 137           871.67              325.28           149,103.84            0.00
 138           869.77              327.18           148,776.66            0.00
 139           867.86              329.09           148,447.57            0.00
 140           865.94              331.01           148,116.56            0.00
 141           864.01              332.94           147,783.62            0.00
 142           862.07              334.88           147,448.74            0.00
 143           860.12              336.83           147,111.91            0.00
 144           858.15              338.80           146,773.11            0.00
 145           856.18              340.77           146,432.34            0.00
 146           854.19              342.76           146,089.58            0.00
 147           852.19              344.76           145,744.82            0.00
 148           850.18              346.77           145,398.05            0.00
 149           848.16              348.79           145,049.26            0.00
 150           846.12              350.83           144,698.43            0.00
 151           844.07              352.88           144,345.55            0.00
 152           842.02              354.93           143,990.62            0.00
 153           839.95              357.00           143,633.62            0.00
 154           837.86              359.09           143,274.53            0.00
 155           835.77              361.18           142,913.35            0.00
 156           833.66              363.29           142,550.06            0.00
 157           831.54              365.41           142,184.65            0.00
 158           829.41              367.54           141,817.11            0.00
 159           827.27              369.68           141,447.43            0.00
 160           825.11              371.84           141,075.59            0.00
 161           822.94              374.01           140,701.58            0.00
 162           820.76              376.19           140,325.39            0.00
 163           818.56              378.39           139,947.00            0.00
 164           816.36              380.59           139,566.41            0.00
 165           814.14              382.81           139,183.60            0.00
 166           811.90              385.05           138,798.55            0.00
 167           809.66              387.29           138,411.26            0.00
 168           807.40              389.55           138,021.71            0.00
 169           805.13              391.82           137,629.89            0.00
 170           802.84              394.11           137,235.78            0.00
 171           800.54              396.41           136,839.37            0.00
 172           798.23              398.72           136,440.65            0.00
 173           795.90              401.05           136,039.60            0.00
 174           793.56              403.39           135,636.21            0.00
 175           791.21              405.74           135,230.47            0.00
 176           788.84              408.11           134,822.36            0.00
 177           786.46              410.49           134,411.87            0.00
 178           784.07              412.88           133,998.99            0.00
 179           781.66              415.29           133,583.70            0.00
 180           779.24              417.71           133,165.99            0.00
 181           776.80              420.15           132,745.84            0.00
 182           774.35              422.60           132,323.24            0.00
 183           771.89              425.06           131,898.18            0.00
 184           769.41              427.54           131,470.64            0.00
 185           766.91              430.04           131,040.60            0.00
 186           764.40              432.55           130,608.05            0.00
 187           761.88              435.07           130,172.98            0.00
 188           759.34              437.61           129,735.37            0.00
 189           756.79              440.16           129,295.21            0.00
 190           754.22              442.73           128,852.48            0.00
 191           751.64              445.31           128,407.17            0.00
 192           749.04              447.91           127,959.26            0.00
 193           746.43              450.52           127,508.74            0.00
 194           743.80              453.15           127,055.59            0.00
 195           741.16              455.79           126,599.80            0.00
 196           738.50              458.45           126,141.35            0.00
 197           735.82              461.13           125,680.22            0.00
 198           733.13              463.82           125,216.40            0.00
 199           730.43              466.52           124,749.88            0.00
 200           727.71              469.24           124,280.64            0.00
 201           724.97              471.98           123,808.66            0.00
 202           722.22              474.73           123,333.93            0.00
 203           719.45              477.50           122,856.43            0.00
 204           716.66              480.29           122,376.14            0.00
 205           713.86              483.09           121,893.05            0.00
 206           711.04              485.91           121,407.14            0.00
 207           708.21              488.74           120,918.40            0.00
 208           705.36              491.59           120,426.81            0.00
 209           702.49              494.46           119,932.35            0.00
 210           699.61              497.34           119,435.01            0.00
 211           696.70              500.25           118,934.76            0.00
 212           693.79              503.16           118,431.60            0.00
 213           690.85              506.10           117,925.50            0.00
 214           687.90              509.05           117,416.45            0.00
 215           684.93              512.02           116,904.43            0.00
 216           681.94              515.01           116,389.42            0.00
 217           678.94              518.01           115,871.41            0.00
 218           675.92              521.03           115,350.38            0.00
 219           672.88              524.07           114,826.31            0.00
 220           669.82              527.13           114,299.18            0.00
 221           666.75              530.20           113,768.98            0.00
 222           663.65              533.30           113,235.68            0.00
 223           660.54              536.41           112,699.27            0.00
 224           657.41              539.54           112,159.73            0.00
 225           654.27              542.68           111,617.05            0.00
 226           651.10              545.85           111,071.20            0.00
 227           647.92              549.03           110,522.17            0.00
 228           644.71              552.24           109,969.93            0.00
 229           641.49              555.46           109,414.47            0.00
 230           638.25              558.70           108,855.77            0.00
 231           634.99              561.96           108,293.81            0.00
 232           631.71              565.24           107,728.57            0.00
 233           628.42              568.53           107,160.04            0.00
 234           625.10              571.85           106,588.19            0.00
 235           621.76              575.19           106,013.00            0.00
 236           618.41              578.54           105,434.46            0.00
 237           615.03              581.92           104,852.54            0.00
 238           611.64              585.31           104,267.23            0.00
 239           608.23              588.72           103,678.51            0.00
 240           604.79              592.16           103,086.35            0.00
 241           601.34              595.61           102,490.74            0.00
 242           597.86              599.09           101,891.65            0.00
 243           594.37              602.58           101,289.07            0.00
 244           590.85              606.10           100,682.97            0.00
 245           587.32              609.63           100,073.34            0.00
 246           583.76              613.19            99,460.15            0.00
 247           580.18              616.77            98,843.38            0.00
 248           576.59              620.36            98,223.02            0.00
 249           572.97              623.98            97,599.04            0.00
 250           569.33              627.62            96,971.42            0.00
 251           565.67              631.28            96,340.14            0.00
 252           561.98              634.97            95,705.17            0.00
 253           558.28              638.67            95,066.50            0.00
 254           554.55              642.40            94,424.10            0.00
 255           550.81              646.14            93,777.96            0.00
 256           547.04              649.91            93,128.05            0.00
 257           543.25              653.70            92,474.35            0.00
 258           539.43              657.52            91,816.83            0.00
 259           535.60              661.35            91,155.48            0.00
 260           531.74              665.21            90,490.27            0.00
 261           527.86              669.09            89,821.18            0.00
 262           523.96              672.99            89,148.19            0.00
 263           520.03              676.92            88,471.27            0.00
 264           516.08              680.87            87,790.40            0.00
 265           512.11              684.84            87,105.56            0.00
 266           508.12              688.83            86,416.73            0.00
 267           504.10              692.85            85,723.88            0.00
 268           500.06              696.89            85,026.99            0.00
 269           495.99              700.96            84,326.03            0.00
 270           491.90              705.05            83,620.98            0.00
 271           487.79              709.16            82,911.82            0.00
 272           483.65              713.30            82,198.52            0.00
 273           479.49              717.46            81,481.06            0.00
 274           475.31              721.64            80,759.42            0.00
 275           471.10              725.85            80,033.57            0.00
 276           466.86              730.09            79,303.48            0.00
 277           462.60              734.35            78,569.13            0.00
 278           458.32              738.63            77,830.50            0.00
 279           454.01              742.94            77,087.56            0.00
 280           449.68              747.27            76,340.29            0.00
 281           445.32              751.63            75,588.66            0.00
 282           440.93              756.02            74,832.64            0.00
 283           436.52              760.43            74,072.21            0.00
 284           432.09              764.86            73,307.35            0.00
 285           427.63              769.32            72,538.03            0.00
 286           423.14              773.81            71,764.22            0.00
 287           418.62              778.33            70,985.89            0.00
 288           414.08              782.87            70,203.02            0.00
 289           409.52              787.43            69,415.59            0.00
 290           404.92              792.03            68,623.56            0.00
 291           400.30              796.65            67,826.91            0.00
 292           395.66              801.29            67,025.62            0.00
 293           390.98              805.97            66,219.65            0.00
 294           386.28              810.67            65,408.98            0.00
 295           381.55              815.40            64,593.58            0.00
 296           376.80              820.15            63,773.43            0.00
 297           372.01              824.94            62,948.49            0.00
 298           367.20              829.75            62,118.74            0.00
 299           362.36              834.59            61,284.15            0.00
 300           357.49              839.46            60,444.69            0.00
 301           352.59              844.36            59,600.33            0.00
 302           347.67              849.28            58,751.05            0.00
 303           342.71              854.24            57,896.81            0.00
 304           337.73              859.22            57,037.59            0.00
 305           332.72              864.23            56,173.36            0.00
 306           327.68              869.27            55,304.09            0.00
 307           322.61              874.34            54,429.75            0.00
 308           317.51              879.44            53,550.31            0.00
 309           312.38              884.57            52,665.74            0.00
 310           307.22              889.73            51,776.01            0.00
 311           302.03              894.92            50,881.09            0.00
 312           296.81              900.14            49,980.95            0.00
 313           291.56              905.39            49,075.56            0.00
 314           286.27              910.68            48,164.88            0.00
 315           280.96              915.99            47,248.89            0.00
 316           275.62              921.33            46,327.56            0.00
 317           270.24              926.71            45,400.85            0.00
 318           264.84              932.11            44,468.74            0.00
 319           259.40              937.55            43,531.19            0.00
 320           253.93              943.02            42,588.17            0.00
 321           248.43              948.52            41,639.65            0.00
 322           242.90              954.05            40,685.60            0.00
 323           237.33              959.62            39,725.98            0.00
 324           231.73              965.22            38,760.76            0.00
 325           226.10              970.85            37,789.91            0.00
 326           220.44              976.51            36,813.40            0.00
 327           214.74              982.21            35,831.19            0.00
 328           209.02              987.93            34,843.26            0.00
 329           203.25              993.70            33,849.56            0.00
 330           197.46              999.49            32,850.07            0.00
 331           191.63            1,005.32            31,844.75            0.00
 332           185.76            1,011.19            30,833.56            0.00
 333           179.86            1,017.09            29,816.47            0.00
 334           173.93            1,023.02            28,793.45            0.00
 335           167.96            1,028.99            27,764.46            0.00
 336           161.96            1,034.99            26,729.47            0.00
 337           155.92            1,041.03            25,688.44            0.00
 338           149.85            1,047.10            24,641.34            0.00
 339           143.74            1,053.21            23,588.13            0.00
 340           137.60            1,059.35            22,528.78            0.00
 341           131.42            1,065.53            21,463.25            0.00
 342           125.20            1,071.75            20,391.50            0.00
 343           118.95            1,078.00            19,313.50            0.00
 344           112.66            1,084.29            18,229.21            0.00
 345           106.34            1,090.61            17,138.60            0.00
 346            99.98            1,096.97            16,041.63            0.00
 347            93.58            1,103.37            14,938.26            0.00
 348            87.14            1,109.81            13,828.45            0.00
 349            80.67            1,116.28            12,712.17            0.00
 350            74.15            1,122.80            11,589.37            0.00
 351            67.60            1,129.35            10,460.02            0.00
 352            61.02            1,135.93             9,324.09            0.00
 353            54.39            1,142.56             8,181.53            0.00
 354            47.73            1,149.22             7,032.31            0.00
 355            41.02            1,155.93             5,876.38            0.00
 356            34.28            1,162.67             4,713.71            0.00
 357            27.50            1,169.45             3,544.26            0.00
 358            20.67            1,176.28             2,367.98            0.00
 359            13.81            1,183.14             1,184.84            0.00
 360             6.91            1,190.04                -5.20            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                              250,986.80
Total payment to principal: $                                       179,910.00
Total PMI paid: $                                                    10,221.20
Total payments: $                                                   441,118.00
