Enter the purchase price of your home: $150000.00
Enter the term of the loan in years: 15
Enter your down payment percentage: 0.0

Loan amount: $150,000.00
Loan type: 15-Year Fixed, 90.1-100% LTV at 6.775% APR
Monthly Payment = $1329.44
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
  68           625.76              703.68           110,132.21            0.00
  69           621.79              707.65           109,424.56            0.00
  70           617.79              711.65           108,712.91            0.00
  71           613.77              715.67           107,997.24            0.00
  72           609.73              719.71           107,277.53            0.00
  73           605.67              723.77           106,553.76            0.00
  74           601.58              727.86           105,825.90            0.00
  75           597.48              731.96           105,093.94            0.00
  76           593.34              736.10           104,357.84            0.00
  77           589.19              740.25           103,617.59            0.00
  78           585.01              744.43           102,873.16            0.00
  79           580.80              748.64           102,124.52            0.00
  80           576.58              752.86           101,371.66            0.00
  81           572.33              757.11           100,614.55            0.00
  82           568.05              761.39            99,853.16            0.00
  83           563.75              765.69            99,087.47            0.00
  84           559.43              770.01            98,317.46            0.00
  85           555.08              774.36            97,543.10            0.00
  86           550.71              778.73            96,764.37            0.00
  87           546.32              783.12            95,981.25            0.00
  88           541.89              787.55            95,193.70            0.00
  89           537.45              791.99            94,401.71            0.00
  90           532.98              796.46            93,605.25            0.00
  91           528.48              800.96            92,804.29            0.00
  92           523.96              805.48            91,998.81            0.00
  93           519.41              810.03            91,188.78            0.00
  94           514.84              814.60            90,374.18            0.00
  95           510.24              819.20            89,554.98            0.00
  96           505.61              823.83            88,731.15            0.00
  97           500.96              828.48            87,902.67            0.00
  98           496.28              833.16            87,069.51            0.00
  99           491.58              837.86            86,231.65            0.00
 100           486.85              842.59            85,389.06            0.00
 101           482.09              847.35            84,541.71            0.00
 102           477.31              852.13            83,689.58            0.00
 103           472.50              856.94            82,832.64            0.00
 104           467.66              861.78            81,970.86            0.00
 105           462.79              866.65            81,104.21            0.00
 106           457.90              871.54            80,232.67            0.00
 107           452.98              876.46            79,356.21            0.00
 108           448.03              881.41            78,474.80            0.00
 109           443.06              886.38            77,588.42            0.00
 110           438.05              891.39            76,697.03            0.00
 111           433.02              896.42            75,800.61            0.00
 112           427.96              901.48            74,899.13            0.00
 113           422.87              906.57            73,992.56            0.00
 114           417.75              911.69            73,080.87            0.00
 115           412.60              916.84            72,164.03            0.00
 116           407.43              922.01            71,242.02            0.00
 117           402.22              927.22            70,314.80            0.00
 118           396.99              932.45            69,382.35            0.00
 119           391.72              937.72            68,444.63            0.00
 120           386.43              943.01            67,501.62            0.00
 121           381.10              948.34            66,553.28            0.00
 122           375.75              953.69            65,599.59            0.00
 123           370.36              959.08            64,640.51            0.00
 124           364.95              964.49            63,676.02            0.00
 125           359.50              969.94            62,706.08            0.00
 126           354.03              975.41            61,730.67            0.00
 127           348.52              980.92            60,749.75            0.00
 128           342.98              986.46            59,763.29            0.00
 129           337.41              992.03            58,771.26            0.00
 130           331.81              997.63            57,773.63            0.00
 131           326.18            1,003.26            56,770.37            0.00
 132           320.52            1,008.92            55,761.45            0.00
 133           314.82            1,014.62            54,746.83            0.00
 134           309.09            1,020.35            53,726.48            0.00
 135           303.33            1,026.11            52,700.37            0.00
 136           297.54            1,031.90            51,668.47            0.00
 137           291.71            1,037.73            50,630.74            0.00
 138           285.85            1,043.59            49,587.15            0.00
 139           279.96            1,049.48            48,537.67            0.00
 140           274.04            1,055.40            47,482.27            0.00
 141           268.08            1,061.36            46,420.91            0.00
 142           262.08            1,067.36            45,353.55            0.00
 143           256.06            1,073.38            44,280.17            0.00
 144           250.00            1,079.44            43,200.73            0.00
 145           243.90            1,085.54            42,115.19            0.00
 146           237.78            1,091.66            41,023.53            0.00
 147           231.61            1,097.83            39,925.70            0.00
 148           225.41            1,104.03            38,821.67            0.00
 149           219.18            1,110.26            37,711.41            0.00
 150           212.91            1,116.53            36,594.88            0.00
 151           206.61            1,122.83            35,472.05            0.00
 152           200.27            1,129.17            34,342.88            0.00
 153           193.89            1,135.55            33,207.33            0.00
 154           187.48            1,141.96            32,065.37            0.00
 155           181.04            1,148.40            30,916.97            0.00
 156           174.55            1,154.89            29,762.08            0.00
 157           168.03            1,161.41            28,600.67            0.00
 158           161.47            1,167.97            27,432.70            0.00
 159           154.88            1,174.56            26,258.14            0.00
 160           148.25            1,181.19            25,076.95            0.00
 161           141.58            1,187.86            23,889.09            0.00
 162           134.87            1,194.57            22,694.52            0.00
 163           128.13            1,201.31            21,493.21            0.00
 164           121.35            1,208.09            20,285.12            0.00
 165           114.53            1,214.91            19,070.21            0.00
 166           107.67            1,221.77            17,848.44            0.00
 167           100.77            1,228.67            16,619.77            0.00
 168            93.83            1,235.61            15,384.16            0.00
 169            86.86            1,242.58            14,141.58            0.00
 170            79.84            1,249.60            12,891.98            0.00
 171            72.79            1,256.65            11,635.33            0.00
 172            65.69            1,263.75            10,371.58            0.00
 173            58.56            1,270.88             9,100.70            0.00
 174            51.38            1,278.06             7,822.64            0.00
 175            44.17            1,285.27             6,537.37            0.00
 176            36.91            1,292.53             5,244.84            0.00
 177            29.61            1,299.83             3,945.01            0.00
 178            22.27            1,307.17             2,637.84            0.00
 179            14.89            1,314.55             1,323.29            0.00
 180             7.47            1,321.97                 1.32            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                               89,300.52
Total payment to principal: $                                       150,000.00
Total PMI paid: $                                                     6,952.50
Total payments: $                                                   246,253.02
