Enter the purchase price of your home: $400000.00
Enter the term of the loan in years: 20
Enter your down payment percentage: 25.0

Loan amount: $300,000.00
Loan type: 20-Year Fixed, 90% or less LTV at 6.825% APR
Monthly Payment = $2294.49
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
  62         1,463.11              831.38           256,418.37            0.00
  63         1,458.38              836.11           255,582.26            0.00
  64         1,453.62              840.87           254,741.39            0.00
  65         1,448.84              845.65           253,895.74            0.00
  66         1,444.03              850.46           253,045.28            0.00
  67         1,439.20              855.29           252,189.99            0.00
  68         1,434.33              860.16           251,329.83            0.00
  69         1,429.44              865.05           250,464.78            0.00
  70         1,424.52              869.97           249,594.81            0.00
  71         1,419.57              874.92           248,719.89            0.00
  72         1,414.59              879.90           247,839.99            0.00
  73         1,409.59              884.90           246,955.09            0.00
  74         1,404.56              889.93           246,065.16            0.00
  75         1,399.50              894.99           245,170.17            0.00
  76         1,394.41              900.08           244,270.09            0.00
  77         1,389.29              905.20           243,364.89            0.00
  78         1,384.14              910.35           242,454.54            0.00
  79         1,378.96              915.53           241,539.01            0.00
  80         1,373.75              920.74           240,618.27            0.00
  81         1,368.52              925.97           239,692.30            0.00
  82         1,363.25              931.24           238,761.06            0.00
  83         1,357.95              936.54           237,824.52            0.00
  84         1,352.63              941.86           236,882.66            0.00
  85         1,347.27              947.22           235,935.44            0.00
  86         1,341.88              952.61           234,982.83            0.00
  87         1,336.46              958.03           234,024.80            0.00
  88         1,331.02              963.47           233,061.33            0.00
  89         1,325.54              968.95           232,092.38            0.00
  90         1,320.03              974.46           231,117.92            0.00
  91         1,314.48              980.01           230,137.91            0.00
  92         1,308.91              985.58           229,152.33            0.00
  93         1,303.30              991.19           228,161.14            0.00
  94         1,297.67              996.82           227,164.32            0.00
  95         1,292.00            1,002.49           226,161.83            0.00
  96         1,286.30            1,008.19           225,153.64            0.00
  97         1,280.56            1,013.93           224,139.71            0.00
  98         1,274.79            1,019.70           223,120.01            0.00
  99         1,269.00            1,025.49           222,094.52            0.00
 100         1,263.16            1,031.33           221,063.19            0.00
 101         1,257.30            1,037.19           220,026.00            0.00
 102         1,251.40            1,043.09           218,982.91            0.00
 103         1,245.47            1,049.02           217,933.89            0.00
 104         1,239.50            1,054.99           216,878.90            0.00
 105         1,233.50            1,060.99           215,817.91            0.00
 106         1,227.46            1,067.03           214,750.88            0.00
 107         1,221.40            1,073.09           213,677.79            0.00
 108         1,215.29            1,079.20           212,598.59            0.00
 109         1,209.15            1,085.34           211,513.25            0.00
 110         1,202.98            1,091.51           210,421.74            0.00
 111         1,196.77            1,097.72           209,324.02            0.00
 112         1,190.53            1,103.96           208,220.06            0.00
 113         1,184.25            1,110.24           207,109.82            0.00
 114         1,177.94            1,116.55           205,993.27            0.00
 115         1,171.59            1,122.90           204,870.37            0.00
 116         1,165.20            1,129.29           203,741.08            0.00
 117         1,158.78            1,135.71           202,605.37            0.00
 118         1,152.32            1,142.17           201,463.20            0.00
 119         1,145.82            1,148.67           200,314.53            0.00
 120         1,139.29            1,155.20           199,159.33            0.00
 121         1,132.72            1,161.77           197,997.56            0.00
 122         1,126.11            1,168.38           196,829.18            0.00
 123         1,119.47            1,175.02           195,654.16            0.00
 124         1,112.78            1,181.71           194,472.45            0.00
 125         1,106.06            1,188.43           193,284.02            0.00
 126         1,099.30            1,195.19           192,088.83            0.00
 127         1,092.51            1,201.98           190,886.85            0.00
 128         1,085.67            1,208.82           189,678.03            0.00
 129         1,078.79            1,215.70           188,462.33            0.00
 130         1,071.88            1,222.61           187,239.72            0.00
 131         1,064.93            1,229.56           186,010.16            0.00
 132         1,057.93            1,236.56           184,773.60            0.00
 133         1,050.90            1,243.59           183,530.01            0.00
 134         1,043.83            1,250.66           182,279.35            0.00
 135         1,036.71            1,257.78           181,021.57            0.00
 136         1,029.56            1,264.93           179,756.64            0.00
 137         1,022.37            1,272.12           178,484.52            0.00
 138         1,015.13            1,279.36           177,205.16            0.00
 139         1,007.85            1,286.64           175,918.52            0.00
 140         1,000.54            1,293.95           174,624.57            0.00
 141           993.18            1,301.31           173,323.26            0.00
 142           985.78            1,308.71           172,014.55            0.00
 143           978.33            1,316.16           170,698.39            0.00
 144           970.85            1,323.64           169,374.75            0.00
 145           963.32            1,331.17           168,043.58            0.00
 146           955.75            1,338.74           166,704.84            0.00
 147           948.13            1,346.36           165,358.48            0.00
 148           940.48            1,354.01           164,004.47            0.00
 149           932.78            1,361.71           162,642.76            0.00
 150           925.03            1,369.46           161,273.30            0.00
 151           917.24            1,377.25           159,896.05            0.00
 152           909.41            1,385.08           158,510.97            0.00
 153           901.53            1,392.96           157,118.01            0.00
 154           893.61            1,400.88           155,717.13            0.00
 155           885.64            1,408.85           154,308.28            0.00
 156           877.63            1,416.86           152,891.42            0.00
 157           869.57            1,424.92           151,466.50            0.00
 158           861.47            1,433.02           150,033.48            0.00
 159           853.32            1,441.17           148,592.31            0.00
 160           845.12            1,449.37           147,142.94            0.00
 161           836.88            1,457.61           145,685.33            0.00
 162           828.59            1,465.90           144,219.43            0.00
 163           820.25            1,474.24           142,745.19            0.00
 164           811.86            1,482.63           141,262.56            0.00
 165           803.43            1,491.06           139,771.50            0.00
 166           794.95            1,499.54           138,271.96            0.00
 167           786.42            1,508.07           136,763.89            0.00
 168           777.84            1,516.65           135,247.24            0.00
 169           769.22            1,525.27           133,721.97            0.00
 170           760.54            1,533.95           132,188.02            0.00
 171           751.82            1,542.67           130,645.35            0.00
 172           743.05            1,551.44           129,093.91            0.00
 173           734.22            1,560.27           127,533.64            0.00
 174           725.35            1,569.14           125,964.50            0.00
 175           716.42            1,578.07           124,386.43            0.00
 176           707.45            1,587.04           122,799.39            0.00
 177           698.42            1,596.07           121,203.32            0.00
 178           689.34            1,605.15           119,598.17            0.00
 179           680.21            1,614.28           117,983.89            0.00
 180           671.03            1,623.46           116,360.43            0.00
 181           661.80            1,632.69           114,727.74            0.00
 182           652.51            1,641.98           113,085.76            0.00
 183           643.18            1,651.31           111,434.45            0.00
 184           633.78            1,660.71           109,773.74            0.00
 185           624.34            1,670.15           108,103.59            0.00
 186           614.84            1,679.65           106,423.94            0.00
 187           605.29            1,689.20           104,734.74            0.00
 188           595.68            1,698.81           103,035.93            0.00
 189           586.02            1,708.47           101,327.46            0.00
 190           576.30            1,718.19            99,609.27            0.00
 191           566.53            1,727.96            97,881.31            0.00
 192           556.70            1,737.79            96,143.52            0.00
 193           546.82            1,747.67            94,395.85            0.00
 194           536.88            1,757.61            92,638.24            0.00
 195           526.88            1,767.61            90,870.63            0.00
 196           516.83            1,777.66            89,092.97            0.00
 197           506.72            1,787.77            87,305.20            0.00
 198           496.55            1,797.94            85,507.26            0.00
 199           486.32            1,808.17            83,699.09            0.00
 200           476.04            1,818.45            81,880.64            0.00
 201           465.70            1,828.79            80,051.85            0.00
 202           455.29            1,839.20            78,212.65            0.00
 203           444.83            1,849.66            76,362.99            0.00
 204           434.31            1,860.18            74,502.81            0.00
 205           423.73            1,870.76            72,632.05            0.00
 206           413.09            1,881.40            70,750.65            0.00
 207           402.39            1,892.10            68,858.55            0.00
 208           391.63            1,902.86            66,955.69            0.00
 209           380.81            1,913.68            65,042.01            0.00
 210           369.93            1,924.56            63,117.45            0.00
 211           358.98            1,935.51            61,181.94            0.00
 212           347.97            1,946.52            59,235.42            0.00
 213           336.90            1,957.59            57,277.83            0.00
 214           325.77            1,968.72            55,309.11            0.00
 215           314.57            1,979.92            53,329.19            0.00
 216           303.31            1,991.18            51,338.01            0.00
 217           291.98            2,002.51            49,335.50            0.00
 218           280.60            2,013.89            47,321.61            0.00
 219           269.14            2,025.35            45,296.26            0.00
 220           257.62            2,036.87            43,259.39            0.00
 221           246.04            2,048.45            41,210.94            0.00
 222           234.39            2,060.10            39,150.84            0.00
 223           222.67            2,071.82            37,079.02            0.00
 224           210.89            2,083.60            34,995.42            0.00
 225           199.04            2,095.45            32,899.97            0.00
 226           187.12            2,107.37            30,792.60            0.00
 227           175.13            2,119.36            28,673.24            0.00
 228           163.08            2,131.41            26,541.83            0.00
 229           150.96            2,143.53            24,398.30            0.00
 230           138.77            2,155.72            22,242.58            0.00
 231           126.50            2,167.99            20,074.59            0.00
 232           114.17            2,180.32            17,894.27            0.00
 233           101.77            2,192.72            15,701.55            0.00
 234            89.30            2,205.19            13,496.36            0.00
 235            76.76            2,217.73            11,278.63            0.00
 236            64.15            2,230.34             9,048.29            0.00
 237            51.46            2,243.03             6,805.26            0.00
 238            38.70            2,255.79             4,549.47            0.00
 239            25.88            2,268.61             2,280.86            0.00
 240            12.97            2,281.52                -0.66            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                              250,676.94
Total payment to principal: $                                       300,000.00
Total PMI paid: $                                                         0.00
Total payments: $                                                   550,676.94
